,1-accuracy,1-nb,1-rt,4-accuracy,4-nb,4-rt,8-accuracy,8-nb,8-rt,Unnamed: 0,condition,participant_id,participant_name,results_correct,results_responses,results_rt,results_speed_stim,task_idx,task_status
0,0.9866666666666667,15,7380.533333333334,0.68,15,7610.8,0.5733333333333334,15,8611.466666666667,0,zpdes,228,Axelle,"['0.8', '0.4', '1', '0.4', '1', '0.8', '0.8', '0.6', '1', '0.6', '0.8', '1', '0.6', '0.8', '1', '1', '1', '0.6', '0.6', '0.6', '1', '0.4', '1', '0.6', '1', '0.2', '0.8', '0.6', '0.8', '1', '0.6', '0.4', '1', '1', '0.8', '0.6', '0.4', '1', '1', '0.2', '1', '0.6', '0.8', '0.6', '0.8']","['3', '1', '7', '0', '4', '3', '6', '8', '7', '2', '3', '1', '0', '2', '4', '8', '1', '0', '7', '6', '3', '2', '0', '1', '4', '1', '0', '2', '4', '7', '4', '1', '2', '3', '5', '5', '0', '3', '6', '1', '4', '3', '2', '0', '1', '2', '6', '9', '1', '4', '1', '3', '0', '9', '2', '4', '0', '2', '3', '1', '7', '1', '8', '3', '4', '1', '0', '2', '5', '3', '4', '0', '3', '2', '1', '4', '3', '0', '1', '2', '1', '4', '3', '2', '0', '5', '4', '2', '8', '3', '7', '1', '8', '3', '0', '6', '1', '8', '3', '4', '0', '1', '2', '3', '4', '7', '8', '9', '3', '4', '3', '0', '2', '4', '1', '5', '0', '3', '8', '1', '1', '3', '0', '4', '2', '7', '5', '4', '9', '8', '3', '5', '2', '1', '0', '2', '8', '4', '0', '6', '4', '1', '2', '3', '6', '0', '1', '2', '4', '3', '8', '1', '3', '2', '6', '8', '7', '1', '6', '4', '2', '4', '1', '0', '3', '4', '1', '0', '2', '3', '4', '0', '2', '3', '8', '3', '2', '0', '6', '7', '7', '2', '4', '9', '6', '2', '3', '4', '0', '1', '4', '3', '0', '1', '2', '7', '9', '3', '5', '6', '2', '3', '4', '1', '0', '1', '3', '4', '6', '8', '4', '3', '1', '0', '8', '0', '2', '1', '6', '8', '4', '0', '2', '3', '9']","['5765', '8032', '8014', '7882', '7198', '6067', '7631', '7366', '6214', '8962', '6215', '7934', '6984', '6251', '7848', '8180', '8398', '11229', '7447', '11031', '7598', '7316', '7049', '7651', '7265', '8298', '8600', '9748', '8298', '6834', '8549', '7065', '7763', '6614', '10179', '6748', '7848', '7681', '8049', '10912', '6950', '7684', '7566', '8098', '9031']","['4', '8', '1', '8', '1', '4', '8', '4', '1', '8', '4', '1', '4', '8', '1', '1', '4', '8', '4', '8', '1', '4', '1', '8', '1', '4', '8', '8', '4', '1', '8', '4', '1', '1', '4', '8', '8', '1', '4', '8', '1', '4', '1', '8', '4']",1,PRE_TEST
1,0.92,15,4333.4,0.9600000000000001,15,4358.8,0.6933333333333332,15,4568.4,1,zpdes,228,Axelle,"['1', '0.8', '0.6', '0.8', '1', '1', '0.8', '0.8', '0.6', '0.8', '1', '1', '0.8', '1', '0.8', '1', '0.8', '1', '0.8', '0.8', '0.8', '0.6', '1', '1', '1', '0.6', '0.8', '1', '1', '0.8', '1', '1', '0.8', '1', '0.8', '0.4', '1', '0.6', '1', '0.6', '1', '1', '0.8', '1', '0.8']","['1', '3', '4', '0', '2', '1', '6', '3', '4', '0', '2', '1', '0', '5', '8', '0', '3', '9', '4', '2', '4', '3', '0', '2', '1', '3', '0', '4', '2', '1', '9', '3', '2', '1', '0', '2', '3', '0', '4', '5', '2', '1', '9', '8', '0', '2', '3', '1', '4', '9', '2', '0', '1', '3', '4', '3', '1', '0', '4', '2', '2', '1', '0', '4', '8', '0', '4', '1', '2', '3', '2', '4', '1', '3', '8', '0', '4', '3', '2', '1', '4', '2', '3', '0', '5', '2', '1', '3', '4', '0', '2', '7', '4', '1', '0', '0', '3', '1', '2', '6', '8', '4', '3', '1', '0', '2', '1', '3', '8', '5', '0', '2', '4', '3', '1', '0', '3', '4', '1', '2', '1', '0', '2', '4', '3', '9', '1', '2', '3', '5', '3', '5', '1', '0', '4', '1', '2', '4', '3', '0', '4', '2', '0', '3', '1', '2', '0', '4', '1', '8', '4', '3', '1', '0', '2', '4', '1', '2', '3', '0', '1', '2', '3', '5', '4', '2', '1', '3', '0', '4', '0', '4', '9', '3', '1', '8', '0', '1', '6', '7', '1', '4', '0', '3', '2', '5', '2', '1', '3', '9', '4', '3', '0', '2', '1', '1', '6', '0', '4', '8', '4', '2', '3', '0', '1', '1', '0', '4', '3', '2', '6', '0', '2', '4', '1', '4', '3', '1', '0', '2', '3', '5', '0', '1', '4']","['4730', '4399', '5829', '3363', '4048', '3735', '5568', '4415', '4303', '4103', '4534', '3983', '6695', '3466', '3815', '4203', '4788', '4275', '5148', '5095', '4015', '4832', '3791', '3599', '5148', '3698', '4916', '4487', '3750', '6067', '3641', '4151', '4047', '4251', '4647', '5116', '4484', '4632', '4451', '3516', '4220', '3866', '5269', '3602', '4218']","['4', '1', '8', '8', '4', '1', '4', '1', '8', '8', '4', '1', '1', '4', '8', '1', '8', '4', '8', '4', '1', '8', '4', '1', '4', '8', '1', '4', '1', '8', '4', '1', '8', '1', '4', '8', '4', '8', '1', '8', '1', '4', '8', '4', '1']",1,POST_TEST
2,0.9866666666666667,15,4848.8,0.7599999999999999,15,5644.2,0.5866666666666667,15,5406.533333333334,2,baseline,231,Johanie,"['0.8', '0.2', '1', '0.4', '0.8', '1', '1', '0.6', '0.8', '1', '0.8', '1', '0.4', '0.6', '1', '0.8', '1', '0.2', '1', '0.8', '1', '1', '0.6', '0.6', '0.6', '0.8', '1', '1', '0.8', '0.8', '1', '1', '0.6', '0.8', '0.6', '1', '0.4', '0.6', '0.8', '1', '1', '0.8', '1', '0.6', '0.4']","['1', '2', '3', '0', '7', '8', '6', '7', '9', '0', '3', '0', '1', '2', '4', '3', '9', '7', '1', '8', '2', '4', '0', '1', '8', '4', '0', '1', '3', '2', '1', '4', '0', '3', '2', '0', '6', '3', '4', '5', '1', '3', '4', '2', '6', '3', '4', '2', '1', '0', '1', '4', '2', '3', '6', '0', '1', '3', '4', '2', '2', '1', '7', '5', '6', '3', '0', '2', '9', '7', '0', '1', '3', '4', '2', '1', '4', '3', '8', '2', '3', '2', '4', '0', '1', '6', '5', '9', '7', '4', '3', '2', '4', '0', '1', '3', '1', '2', '0', '7', '2', '1', '4', '3', '0', '1', '4', '3', '0', '2', '4', '0', '5', '3', '9', '6', '1', '0', '4', '9', '1', '2', '6', '4', '9', '2', '3', '1', '0', '7', '0', '2', '3', '1', '4', '3', '0', '2', '1', '4', '3', '4', '5', '0', '1', '4', '1', '7', '3', '2', '4', '2', '0', '1', '3', '3', '2', '4', '0', '1', '2', '7', '1', '3', '9', '2', '1', '4', '5', '3', '2', '3', '0', '7', '8', '0', '4', '2', '3', '1', '0', '2', '9', '7', '8', '3', '0', '1', '5', '8', '3', '4', '2', '0', '9', '0', '1', '2', '4', '3', '0', '3', '1', '4', '2', '1', '6', '2', '4', '0', '0', '2', '3', '1', '4', '4', '0', '1', '5', '6', '0', '6', '8', '7', '4']","['5065', '7559', '4563', '9292', '7244', '4426', '4313', '5162', '8276', '5378', '4612', '7127', '3666', '4943', '2814', '5579', '7877', '5562', '5245', '5462', '5928', '4279', '5429', '4482', '4347', '4896', '5145', '4113', '8842', '4197', '4729', '5179', '3830', '4313', '4579', '3530', '3563', '6528', '6245', '3813', '5645', '6161', '4430', '5762', '4363']","['4', '8', '1', '8', '4', '1', '1', '4', '8', '1', '8', '4', '8', '4', '1', '4', '1', '8', '1', '4', '8', '1', '8', '4', '8', '4', '1', '1', '4', '8', '1', '4', '8', '8', '4', '1', '8', '4', '1', '4', '1', '8', '1', '4', '8']",1,PRE_TEST
3,1.0,15,3891.0666666666666,0.7599999999999999,15,3833.6,0.5733333333333334,15,3907.733333333333,3,baseline,231,Johanie,"['0.8', '1', '0.8', '1', '0.8', '0.6', '1', '1', '0.4', '0.6', '1', '0.6', '0.6', '1', '1', '1', '0.6', '1', '0.4', '1', '0.8', '0.6', '1', '1', '1', '0.6', '0.6', '1', '0.6', '0.6', '1', '0.6', '0.8', '0.4', '0.6', '1', '1', '1', '0.6', '1', '0.4', '0.6', '1', '0.4', '0.6']","['0', '1', '2', '4', '7', '3', '4', '1', '2', '0', '6', '3', '2', '4', '1', '1', '4', '0', '2', '3', '2', '1', '0', '3', '5', '0', '2', '4', '9', '8', '1', '2', '3', '4', '0', '2', '1', '0', '4', '3', '0', '4', '5', '7', '6', '3', '2', '9', '4', '7', '2', '3', '0', '1', '4', '4', '8', '5', '0', '1', '0', '9', '6', '2', '3', '1', '0', '2', '4', '3', '2', '3', '4', '0', '1', '3', '2', '4', '1', '0', '3', '6', '4', '2', '9', '0', '4', '2', '3', '1', '0', '7', '9', '8', '4', '0', '4', '3', '1', '2', '3', '4', '1', '0', '9', '3', '7', '2', '8', '1', '2', '1', '0', '3', '4', '0', '3', '4', '2', '1', '1', '4', '0', '2', '3', '6', '3', '5', '2', '4', '3', '2', '8', '0', '5', '2', '3', '4', '0', '1', '8', '1', '4', '9', '0', '4', '3', '2', '7', '6', '0', '4', '1', '2', '3', '9', '3', '2', '8', '0', '3', '6', '0', '2', '1', '5', '0', '7', '6', '4', '3', '8', '2', '0', '9', '4', '0', '1', '3', '2', '3', '0', '1', '2', '4', '2', '4', '1', '0', '3', '4', '7', '1', '2', '5', '2', '1', '3', '0', '4', '4', '1', '5', '8', '6', '2', '0', '5', '3', '9', '1', '4', '0', '2', '3', '7', '0', '6', '3', '5', '6', '9', '3', '0', '4']","['5312', '3197', '4130', '3031', '3913', '3081', '4679', '4363', '3347', '3863', '3430', '3663', '3431', '3214', '4229', '3564', '3397', '4113', '3597', '3780', '4962', '3214', '4380', '3264', '4596', '3980', '3331', '3514', '3397', '3647', '4962', '3580', '4146', '3297', '3930', '3664', '3780', '3783', '4463', '3731', '6128', '2897', '4396', '4463', '3647']","['8', '1', '4', '1', '8', '4', '1', '4', '8', '4', '1', '8', '8', '4', '1', '4', '8', '1', '8', '1', '4', '8', '4', '1', '1', '8', '4', '1', '4', '8', '1', '8', '4', '8', '4', '1', '1', '4', '8', '1', '8', '4', '1', '4', '8']",1,POST_TEST
4,0.9866666666666667,15,2915.133333333333,0.8000000000000002,15,2897.5333333333333,0.6133333333333334,15,3004.8,4,zpdes,232,mabortoluzzi,"['0.8', '1', '0.6', '0.6', '1', '0.8', '1', '1', '0.4', '0.6', '1', '0.8', '1', '1', '0.6', '1', '0.8', '0.8', '1', '0.4', '0.8', '0.8', '1', '0.6', '0.6', '0.8', '0.8', '0.4', '1', '0.6', '0.4', '1', '0.6', '0.8', '0.8', '1', '0.8', '0.8', '1', '1', '0.6', '1', '0.8', '0.8', '1']","['3', '1', '0', '4', '9', '2', '0', '4', '3', '1', '2', '6', '1', '7', '4', '0', '3', '5', '6', '4', '0', '4', '1', '2', '3', '0', '4', '3', '5', '2', '3', '4', '1', '2', '0', '3', '2', '1', '4', '0', '4', '6', '0', '9', '7', '0', '4', '2', '5', '7', '2', '1', '0', '3', '4', '0', '4', '3', '7', '1', '3', '0', '1', '4', '2', '0', '2', '3', '1', '4', '2', '4', '5', '7', '3', '4', '2', '1', '3', '0', '3', '0', '7', '2', '4', '1', '2', '3', '6', '4', '4', '3', '1', '2', '0', '0', '5', '3', '8', '6', '0', '2', '8', '1', '3', '6', '2', '1', '0', '4', '4', '0', '1', '2', '3', '0', '2', '4', '7', '9', '4', '3', '0', '6', '9', '1', '5', '2', '3', '0', '0', '1', '4', '2', '5', '1', '5', '3', '8', '7', '0', '1', '4', '3', '2', '0', '3', '2', '5', '8', '1', '8', '0', '5', '6', '3', '2', '0', '1', '4', '4', '6', '2', '3', '5', '6', '3', '1', '2', '4', '0', '2', '4', '9', '3', '2', '4', '0', '1', '3', '4', '2', '0', '1', '5', '3', '2', '1', '4', '8', '2', '4', '3', '1', '0', '0', '4', '1', '2', '3', '3', '0', '7', '5', '4', '4', '2', '1', '3', '0', '0', '1', '3', '2', '6', '0', '5', '2', '1', '4', '0', '1', '4', '3', '2']","['3796', '3358', '2966', '2929', '2288', '3592', '2971', '3346', '2854', '3275', '2988', '3071', '2858', '3054', '3541', '2630', '2830', '3154', '2284', '2891', '3474', '3529', '2321', '2371', '2583', '2750', '3375', '2804', '2534', '2356', '2512', '3239', '2188', '2822', '2425', '3221', '2700', '3479', '4257', '2362', '2383', '3098', '2358', '3350', '3095']","['4', '1', '8', '8', '1', '4', '4', '1', '8', '8', '1', '4', '4', '1', '8', '1', '4', '8', '1', '8', '4', '8', '1', '4', '8', '1', '4', '8', '1', '4', '8', '1', '4', '8', '4', '1', '4', '8', '1', '1', '8', '4', '4', '8', '1']",1,PRE_TEST
5,0.9333333333333333,15,3028.866666666667,0.7066666666666667,15,3013.0,0.6133333333333333,15,3195.4666666666667,5,zpdes,232,mabortoluzzi,"['1', '0.6', '0.8', '0.8', '0.8', '0.2', '0.6', '0.4', '1', '0.8', '0.8', '0.8', '0.6', '1', '0.6', '1', '0.8', '0.6', '0.8', '0.6', '0.6', '0.8', '1', '0.8', '1', '1', '0.6', '0.4', '0.6', '1', '0.8', '0.8', '1', '0.8', '1', '0.6', '0.4', '1', '0.6', '0.8', '0.4', '1', '0.8', '0.6', '0.8']","['3', '4', '2', '1', '0', '1', '2', '0', '9', '6', '4', '0', '2', '5', '1', '2', '1', '0', '4', '5', '2', '4', '1', '3', '9', '0', '7', '6', '8', '5', '2', '0', '3', '8', '9', '2', '4', '8', '5', '9', '0', '3', '1', '2', '4', '2', '5', '1', '0', '3', '1', '2', '3', '0', '5', '1', '2', '3', '6', '0', '6', '8', '0', '3', '2', '3', '4', '2', '1', '0', '1', '6', '2', '0', '5', '4', '1', '3', '0', '2', '3', '2', '1', '5', '0', '0', '8', '4', '1', '9', '4', '2', '3', '1', '6', '1', '3', '4', '5', '9', '2', '1', '0', '8', '5', '2', '3', '0', '8', '1', '0', '3', '2', '4', '1', '3', '0', '2', '7', '1', '1', '0', '4', '3', '2', '4', '0', '3', '1', '2', '1', '7', '8', '4', '0', '6', '3', '1', '5', '8', '2', '9', '1', '6', '0', '2', '4', '3', '0', '1', '1', '4', '2', '8', '3', '2', '3', '0', '9', '1', '2', '4', '3', '1', '0', '1', '2', '8', '4', '0', '1', '4', '0', '2', '3', '3', '0', '2', '8', '6', '3', '9', '6', '4', '7', '0', '4', '2', '1', '3', '2', '3', '0', '5', '7', '3', '2', '1', '5', '0', '2', '6', '9', '5', '4', '0', '4', '2', '1', '3', '1', '7', '3', '2', '0', '4', '1', '8', '3', '9', '0', '2', '4', '7', '1']","['3580', '3738', '3391', '3150', '2725', '3316', '2871', '2133', '3021', '2666', '3242', '2872', '2059', '2534', '3025', '2771', '2743', '6333', '2654', '3195', '2607', '3030', '2450', '3379', '4825', '2658', '3924', '2995', '2554', '3116', '3245', '3004', '2488', '3354', '3662', '4132', '3167', '2967', '3097', '3063', '3183', '2708', '2737', '1934', '2262']","['1', '8', '4', '4', '1', '8', '4', '8', '1', '4', '1', '8', '8', '1', '4', '1', '4', '8', '8', '4', '1', '4', '1', '8', '1', '4', '8', '4', '8', '1', '4', '8', '1', '8', '1', '4', '8', '1', '4', '4', '8', '1', '1', '4', '8']",1,POST_TEST
6,0.9200000000000002,15,4173.666666666667,0.6666666666666666,15,4038.5333333333333,0.5466666666666666,15,4118.933333333333,6,zpdes,233,aliz.tey,"['0.8', '0.6', '0.6', '0.4', '1', '0.8', '0.8', '0.8', '1', '1', '0.6', '0.6', '0.6', '0.6', '0.8', '1', '0.4', '0.6', '0.4', '1', '0.4', '1', '0.6', '0.4', '1', '0.8', '0.6', '1', '0.6', '0.6', '0.6', '0.8', '0.6', '1', '0.6', '0.8', '0.8', '1', '0.6', '0.4', '0.8', '0.8', '0.8', '0.4', '0.6']","['1', '2', '3', '4', '7', '2', '9', '1', '4', '7', '0', '6', '1', '2', '5', '6', '4', '2', '8', '9', '1', '3', '4', '0', '2', '2', '3', '4', '0', '9', '6', '0', '1', '3', '2', '4', '3', '2', '5', '1', '0', '2', '1', '4', '3', '0', '4', '3', '2', '1', '9', '5', '0', '2', '1', '4', '0', '2', '5', '8', '6', '3', '2', '5', '4', '6', '8', '1', '4', '3', '4', '0', '3', '1', '5', '3', '0', '1', '4', '2', '3', '8', '4', '9', '5', '1', '0', '5', '2', '8', '5', '9', '0', '6', '3', '1', '4', '0', '3', '2', '9', '4', '7', '8', '1', '3', '1', '0', '4', '2', '6', '1', '4', '8', '3', '8', '4', '0', '6', '7', '1', '2', '0', '4', '3', '2', '0', '5', '1', '4', '5', '0', '6', '1', '3', '1', '4', '2', '3', '0', '1', '6', '9', '2', '3', '0', '1', '2', '6', '9', '8', '1', '4', '0', '5', '4', '0', '1', '2', '8', '2', '7', '0', '3', '5', '3', '0', '2', '4', '1', '8', '6', '3', '4', '1', '0', '4', '6', '2', '3', '2', '4', '0', '6', '1', '2', '1', '4', '0', '3', '9', '1', '8', '2', '4', '3', '4', '7', '8', '6', '0', '1', '5', '3', '4', '4', '0', '3', '2', '5', '0', '1', '4', '2', '8', '1', '4', '9', '8', '7', '3', '0', '1', '6', '5']","['5331', '4481', '5264', '3585', '4068', '4781', '3086', '3683', '4333', '3483', '3483', '3584', '3800', '4833', '3668', '5098', '3818', '3866', '4168', '3616', '4283', '3016', '3035', '3434', '4947', '3250', '4682', '3399', '3819', '3449', '2866', '3599', '5516', '3666', '5715', '4515', '4565', '4583', '6382', '3618', '5999', '3634', '3866', '3400', '3700']","['4', '8', '1', '8', '1', '4', '4', '8', '1', '1', '4', '8', '4', '8', '1', '1', '8', '4', '4', '1', '8', '1', '8', '4', '1', '4', '8', '1', '8', '4', '8', '1', '4', '1', '8', '4', '4', '1', '8', '8', '1', '4', '1', '8', '4']",1,PRE_TEST
7,0.9733333333333334,15,3566.6,0.8266666666666668,15,3710.6,0.5866666666666667,15,3462.2,7,zpdes,233,aliz.tey,"['1', '1', '0.6', '0.4', '1', '0.8', '0.8', '0.8', '0.4', '0.6', '1', '1', '1', '0.8', '0.2', '1', '1', '0.6', '0.6', '1', '0.6', '1', '0.6', '0.4', '0.4', '1', '1', '0.8', '1', '0.8', '1', '1', '1', '0.8', '0.8', '1', '0.6', '1', '0.8', '0.6', '1', '1', '0.8', '0.4', '0.8']","['4', '0', '2', '3', '1', '1', '3', '2', '0', '4', '5', '2', '3', '6', '1', '7', '8', '2', '5', '4', '0', '4', '3', '1', '2', '5', '2', '4', '0', '1', '2', '0', '1', '3', '7', '4', '2', '0', '1', '9', '0', '3', '9', '5', '7', '0', '9', '4', '6', '2', '2', '1', '3', '4', '0', '4', '3', '1', '2', '0', '0', '4', '3', '2', '1', '3', '1', '4', '8', '2', '8', '5', '7', '2', '6', '0', '1', '4', '3', '2', '4', '0', '1', '3', '2', '1', '2', '3', '8', '7', '4', '7', '1', '0', '8', '2', '1', '4', '0', '3', '3', '1', '2', '5', '6', '1', '0', '3', '2', '4', '3', '1', '4', '9', '5', '9', '8', '4', '5', '1', '4', '2', '8', '5', '9', '1', '2', '3', '4', '0', '0', '1', '3', '4', '2', '2', '3', '5', '0', '1', '1', '3', '2', '4', '0', '7', '1', '0', '2', '3', '1', '2', '0', '4', '3', '2', '1', '4', '0', '3', '2', '0', '4', '1', '3', '3', '0', '2', '1', '9', '3', '4', '1', '0', '6', '0', '1', '2', '3', '4', '3', '9', '0', '1', '7', '0', '3', '1', '2', '4', '5', '0', '2', '3', '4', '0', '1', '9', '4', '8', '3', '0', '1', '4', '2', '4', '1', '2', '3', '0', '4', '1', '0', '3', '5', '3', '8', '7', '6', '1', '3', '4', '2', '9', '1']","['4401', '3016', '3648', '3266', '3650', '3365', '3449', '3231', '3463', '4216', '3101', '3418', '3264', '3215', '2998', '3216', '6597', '3249', '3930', '3101', '2866', '6280', '3834', '3266', '3433', '2866', '2813', '3464', '2316', '3214', '2883', '3949', '4146', '3683', '3350', '3415', '3631', '3315', '3782', '3634', '4163', '3281', '3698', '3732', '4283']","['1', '4', '8', '8', '1', '4', '1', '8', '4', '8', '1', '4', '1', '4', '8', '1', '4', '8', '4', '1', '8', '1', '4', '8', '8', '1', '4', '8', '1', '4', '4', '8', '1', '4', '8', '1', '8', '1', '4', '8', '4', '1', '1', '8', '4']",1,POST_TEST
