,participant_id,task_idx,task_status,participant_name,condition,results_responses,results_rt,results_targetvalue
0,228,5,PRE_TEST,Axelle,zpdes,"4,6,8,7,7,6,7,5,8,7,6,6,7,8,6,7,6,5,7,6,6,7,5,6,8,5,6,6,6,8,7,8,6,5,7,8,5,6,7,6,8,7,8,6,5,8,5,7,7,6,6,6,5,7,8,8,7,5,6,8,8,6,6,5,7,5,7,7,6,7,6,5,5,6,7,7,8,6,6,5,5,8,8,6,5,8,6,5,8,6,5,6,6,8,8,7,8,5,5,6","3976,4260,5489,4826,4731,3839,4819,7060,5047,6487,4673,4686,4406,6003,3315,6611,3089,2993,4862,5105,3561,4577,1644,4432,6080,3944,3477,3553,8759,6355,5893,5669,2620,3468,4174,4928,4211,3961,4340,4934,5660,4677,5452,3168,3106,5672,3427,5092,6644,3483,4175,2905,3262,5253,3066,4003,4212,4171,1640,6098,5308,2187,3188,3074,7588,3922,3740,7898,3811,4205,3039,4887,2784,5339,3223,5238,4961,5491,5361,3305,3806,6055,6210,3139,3845,7027,3105,3511,7516,4479,2342,5343,2475,5773,5071,4121,4524,4314,2978,3258","5,6,9,8,7,6,8,5,9,7,6,7,8,9,5,8,6,5,9,7,6,8,5,7,9,5,6,8,7,9,8,9,6,5,7,9,5,6,8,7,8,7,9,6,5,8,5,7,9,6,7,6,5,9,8,9,7,5,6,8,8,7,6,5,9,5,7,9,6,8,7,5,6,9,8,7,9,8,6,5,7,9,8,6,5,9,6,5,8,7,5,6,7,8,9,8,9,6,5,7"
1,228,5,POST_TEST,Axelle,zpdes,"7,6,7,7,5,7,8,6,7,5,5,8,7,7,6,6,5,8,5,8,6,6,7,8,6,8,5,6,6,8,8,7,8,5,5,7,9,6,5,6,6,6,6,5,6,5,7,6,7,7,8,7,7,5,6,5,5,7,8,7,7,5,7,8,6,5,8,6,6,7,5,8,8,6,5,7,5,7,6,8,7,5,6,7,8,8,5,6,6,8,6,5,7,7,8,8,5,6,7,7","4105,2186,3651,1607,2207,3711,3160,2338,2099,2392,1546,4042,1712,2114,2073,2752,1659,2695,1975,3539,1957,4574,2001,4699,3216,3632,1543,1206,2490,1401,3054,4266,3646,3794,2206,2856,5007,1933,2410,2942,3127,2387,2438,1575,2805,1800,3828,2716,3584,1978,4561,3710,3231,1980,1734,1868,1265,3002,3288,2728,3802,1892,2578,2525,2914,2334,2673,2884,1163,4373,2057,3877,3439,1605,2918,3633,1847,2208,2006,3556,4102,2054,2114,2553,3050,3541,1542,1741,3131,2669,2676,1565,2146,3399,4374,3275,2017,1746,4139,3092","9,6,7,8,5,8,9,6,7,5,5,9,7,8,6,7,6,8,5,9,6,8,7,9,5,7,5,6,8,9,9,7,8,6,5,8,9,6,5,7,8,9,6,5,7,5,7,6,9,8,9,7,8,5,6,6,5,7,9,8,7,5,8,9,6,5,9,7,6,8,5,8,9,6,7,8,5,7,6,9,7,5,6,8,9,8,5,7,6,9,6,5,7,8,9,8,5,6,9,7"
2,231,5,PRE_TEST,Johanie,baseline,"7,7,6,10,5,9,9,5,7,7,8,9,5,7,10,8,5,9,11,6,5,9,9,7,7,8,10,6,6,5,6,5,6,8,9,10,5,6,8,8,8,9,5,8,7,10,8,7,5,7,6,9,5,8,8,7,9,5,7,7,7,6,5,9,9,5,6,7,7,8,7,6,5,7,9,8,5,8,6,9,6,8,8,8,5,7,8,5,9,8,8,7,5,6,9,6,8,5,9,7","5390,3482,7245,7011,3515,5374,2925,2982,3698,5283,4271,3915,2731,3282,5219,4671,2722,4162,5423,2940,3593,5406,3809,3665,3429,3704,4545,4081,1938,2173,2335,2524,2626,3249,2350,4407,2073,3305,3483,2643,2958,4406,2699,3169,2126,4949,4525,3788,2394,2965,3480,3734,3770,4433,3248,3300,5416,2949,3003,3171,4035,2253,2679,3741,3716,2347,2872,2750,3058,3987,4824,1972,2094,2933,5914,3099,2490,7765,2883,4409,2247,3453,3832,4759,2433,4072,4499,2309,6451,10585,3340,2270,3336,2918,4708,2226,3997,2210,4477,3344","8,7,6,9,5,8,9,5,7,6,8,6,5,7,9,7,5,8,9,6,5,9,8,7,6,9,8,7,6,5,6,5,7,8,9,9,5,6,8,7,8,9,5,7,6,9,7,6,5,8,6,9,5,7,8,6,9,5,8,7,7,6,5,8,9,5,6,7,8,9,8,6,5,7,9,8,5,7,6,9,6,8,7,9,5,6,9,5,8,7,8,7,5,6,9,6,8,5,9,7"
3,231,5,POST_TEST,Johanie,baseline,"8,6,7,5,8,5,8,6,8,7,5,7,6,8,8,6,6,9,9,7,8,9,8,6,5,7,7,9,6,5,8,8,8,6,7,10,6,7,5,6,7,7,8,5,5,5,8,9,6,7,7,7,5,10,6,7,5,7,6,7,6,7,6,9,9,6,5,8,8,8,5,6,7,7,7,9,7,8,5,6,8,5,8,6,7,8,7,8,5,7,7,5,7,8,6,8,5,6,7,8","2633,1975,2343,1290,2438,1502,2330,2619,2002,1730,1600,2365,3443,2567,3002,1439,2205,3474,3094,1568,4513,3219,2497,1946,990,2492,1978,3719,2609,1431,2582,2972,2229,1839,1667,4241,1911,2235,2030,1479,2011,1867,4128,3565,3940,2270,2129,2949,1676,1661,2924,1497,1644,3524,1212,3316,1683,1451,1827,1693,2127,1694,2685,2436,2309,1796,1359,2074,1504,2638,1576,1663,1604,2093,2421,2772,1463,1644,1393,1806,2140,2394,2733,1668,2172,3459,2721,6120,1480,1801,3088,1638,1935,3133,2075,3328,1455,1600,2185,2636","9,6,7,5,8,5,9,6,8,7,5,7,6,9,8,6,5,9,8,7,7,8,9,6,5,8,7,9,6,5,8,9,7,6,5,9,8,7,5,6,8,7,9,5,6,5,8,9,6,7,8,7,5,9,6,7,5,8,6,9,5,7,6,8,9,6,5,8,9,7,5,6,7,8,9,9,7,8,5,6,8,5,9,6,7,9,6,8,5,7,8,5,7,9,6,9,5,7,6,8"
4,232,5,PRE_TEST,mabortoluzzi,zpdes,"7,6,4,6,8,8,5,8,5,5,6,8,7,5,6,7,6,7,5,7,8,6,5,7,6,5,6,7,8,7,5,7,7,7,6,6,7,6,8,5,7,8,5,6,7,5,8,8,7,7,8,9,6,5,6,7,8,5,7,6,5,7,6,7,8,8,6,7,8,5,6,7,6,6,5,5,6,6,6,6,6,7,9,4,7,8,7,6,7,4,5,7,5,7,7,7,5,6,9,7","1733,1690,1119,1602,2280,2064,1415,1443,1015,1167,1310,1674,1214,1032,1108,1569,1295,1206,969,1660,1584,1197,1379,1660,1035,906,1249,1314,1280,1356,798,1298,2203,1556,1543,3151,1933,1314,1560,1539,2166,1750,897,1165,1612,1186,1894,1764,1778,1291,1179,1544,1683,945,1056,2579,1325,975,2959,1477,911,1915,1824,1180,1875,1836,2364,1575,1928,892,1129,1883,2159,1311,678,1432,878,1061,2336,1932,1814,1908,2164,991,1239,1407,1405,928,1230,1029,1977,1508,1061,1178,2041,2023,1488,1760,1632,1286","8,6,5,7,9,8,7,9,5,6,8,9,7,5,6,7,6,8,5,9,8,6,5,9,7,5,6,9,8,7,5,7,9,8,6,7,9,6,8,5,8,9,5,6,7,5,9,8,6,7,9,8,6,5,7,9,7,5,8,6,5,7,6,9,8,8,6,7,9,5,6,9,8,7,5,5,9,8,6,7,6,8,9,5,7,9,7,6,8,5,6,9,5,8,7,8,5,6,9,7"
5,232,5,POST_TEST,mabortoluzzi,zpdes,"5,5,8,6,7,7,6,5,7,6,7,8,6,5,5,8,7,8,6,5,8,5,6,8,7,7,7,6,5,7,7,7,6,5,9,7,6,8,5,6,9,7,7,5,4,7,7,7,5,6,8,6,7,5,7,6,5,8,6,7,5,5,8,6,7,6,5,8,8,7,8,6,7,8,6,7,7,8,5,6,7,7,7,6,5,6,8,7,8,5,7,6,9,5,6,8,6,6,5,6","2190,1410,7079,1497,2902,9006,1948,990,2722,6836,2411,1507,2284,1365,5932,2331,2275,7294,1282,1574,2373,3901,1281,1826,1298,1390,1473,789,5539,1526,1290,951,17734,6042,2672,2658,6821,1577,1487,5102,4929,9129,1604,8867,10139,6665,1763,7821,2001,1706,7111,2224,6437,2601,2492,7856,1482,7717,1724,1279,1750,2409,8282,1588,1796,2354,6130,2541,1612,6087,1295,1297,2244,7513,1210,5214,943,3558,18940,1486,6165,1712,1320,2611,1679,1379,1777,992,1960,1833,7956,6598,3743,1187,6071,1645,10825,6624,1165,1659","6,5,9,8,7,8,6,5,9,7,8,9,6,5,7,8,7,9,6,5,9,5,6,8,7,9,8,6,5,7,8,7,6,5,9,8,6,9,5,7,9,8,6,7,5,9,7,8,5,6,9,6,7,5,8,6,5,9,8,7,5,7,9,6,8,6,5,9,8,7,9,5,7,8,6,9,7,8,5,6,9,7,8,6,5,6,9,7,8,5,8,7,9,5,6,9,6,7,5,8"
6,233,5,PRE_TEST,aliz.tey,zpdes,"7,8,7,5,6,6,7,6,8,8,7,6,9,7,7,8,7,9,6,6,9,5,8,6,7,6,7,8,5,7,6,8,7,5,9,7,8,9,7,5,6,8,5,7,7,9,9,8,5,6,7,6,7,9,6,8,6,8,6,7,6,7,7,5,8,6,8,5,8,7,6,5,7,7,8,5,8,7,7,9,6,8,8,7,5,7,5,7,8,6,6,7,7,7,5,7,5,6,8,8","3554,3015,3738,1919,1572,2238,1882,5731,3338,2030,2743,2388,4404,1931,3039,2562,4128,2563,1089,2582,4016,1927,3012,2570,2017,1927,2054,1678,1643,2687,4404,2976,2463,1387,4854,3303,3770,3205,3909,1731,2118,3502,5627,3345,5772,3981,3417,3699,1743,836,3388,1276,2115,5336,2430,4546,3738,2839,1739,3184,2174,2253,3196,9387,3835,2056,3500,3606,4954,2406,1300,1289,2323,3999,3202,1701,3721,3274,3155,4313,3198,2207,4750,4078,2910,2061,1758,2074,2472,1905,1205,1736,1606,4027,1787,1812,1239,1187,1407,1711","9,8,7,5,6,6,7,5,9,8,6,5,9,7,8,8,7,9,6,5,9,5,8,6,7,6,7,9,5,8,6,8,7,5,9,6,8,9,7,5,6,9,5,8,7,9,7,8,5,6,7,6,8,9,5,9,5,8,6,7,6,8,9,5,7,6,8,5,9,7,6,5,8,7,9,5,8,7,6,9,7,8,9,6,5,7,5,8,9,6,6,8,7,9,5,7,5,6,9,8"
7,233,5,POST_TEST,aliz.tey,zpdes,"7,7,7,5,6,5,9,6,7,8,7,9,6,8,5,6,5,6,8,9,8,6,6,7,8,8,5,7,7,9,7,5,6,7,8,7,9,5,7,8,8,9,6,5,7,8,5,5,7,8,9,8,7,8,5,7,9,8,6,5,9,5,8,7,6,6,9,8,5,7,6,6,7,7,10,6,9,6,9,5,6,5,8,10,7,10,7,9,5,6,5,7,8,6,9,8,7,7,6,6","1894,2337,1862,1474,1335,1009,4951,2526,2440,1869,2495,3412,2370,1593,1296,931,1609,1590,2353,2252,3158,2028,2140,2032,2489,4158,1168,2489,1955,1969,3818,1924,1838,3818,2286,1837,1794,1519,2003,2370,1973,2886,1512,970,3770,1577,1593,1338,1441,2926,3949,2859,2241,2076,1152,2456,1366,1946,1092,1049,3542,2534,1461,1753,1561,1505,2577,2408,1657,2285,974,1803,2845,1938,4692,6169,5728,1620,3544,1392,2386,1261,2740,4172,4428,4674,1894,3697,1341,1757,1492,2041,2303,1382,2707,1639,2138,5005,3324,1569","9,8,7,5,6,5,9,6,7,8,7,9,6,8,5,6,5,7,8,9,7,5,6,9,8,8,5,7,6,9,7,5,6,8,9,6,9,5,7,8,8,9,6,5,7,9,5,6,7,8,9,7,6,8,5,7,9,8,6,5,9,5,8,7,6,6,9,8,5,7,6,5,8,7,9,7,9,6,8,5,6,5,8,9,7,9,7,8,5,6,5,7,8,6,9,9,7,8,5,6"
8,234,5,PRE_TEST,nolan,zpdes,"6,7,6,7,5,6,8,7,5,8,5,5,7,8,8,5,6,8,7,8,5,7,8,6,7,5,7,8,7,6,6,5,7,8,9,8,5,6,9,6,5,7,6,9,7,8,6,6,7,7,5,6,9,7,9,7,8,5,6,8,8,8,5,8,6,7,11,5,6,7,7,9,7,5,5,7,8,9,5,6,5,7,7,6,9,5,6,7,8,7,8,5,7,8,6,6,6,9,9,5","3258,3385,4597,4436,2464,4553,2582,2788,1214,4640,4824,2557,3500,3145,3806,2809,4217,3742,4502,5435,2250,3484,3402,4027,4679,3116,2950,4617,3609,2446,2101,2284,4585,3853,2921,2892,2038,8410,2392,4685,4877,3868,2634,3603,2757,3178,2738,2793,2807,3202,2788,2363,4623,2654,3049,2301,2547,2241,2255,3128,3130,3147,4217,3040,2915,3272,7552,4818,2892,3483,2713,4674,3048,1832,3075,2727,2989,7169,2555,3038,3022,1842,3135,2405,2500,2364,2121,2442,4757,2705,3313,3955,1473,3000,2339,1927,2421,3061,4615,2939","9,8,6,7,5,6,7,8,5,9,6,5,7,8,9,5,6,8,7,9,5,9,8,6,7,5,8,9,7,6,6,5,7,8,9,8,5,7,9,6,5,7,6,9,8,9,5,6,7,8,5,6,9,7,8,7,8,5,6,9,7,8,5,9,6,7,8,5,6,9,8,9,7,5,6,7,8,9,5,6,5,8,7,6,9,5,6,8,9,7,8,5,7,9,6,7,6,8,9,5"
9,234,5,POST_TEST,nolan,zpdes,"5,7,8,6,8,6,8,5,7,7,7,5,8,6,9,6,8,5,7,7,8,7,8,5,6,5,7,7,6,9,8,7,5,6,9,8,6,7,8,5,7,8,5,6,8,9,9,5,6,7,9,6,5,8,7,6,8,5,7,9,7,5,6,8,9,8,5,8,7,6,8,5,6,7,9,7,5,6,8,8,8,6,5,6,9,8,6,7,5,9,9,8,5,6,7,6,9,7,8,7","1221,4644,2779,2576,2909,2447,2542,2323,7109,2412,4541,4362,3371,2389,3256,4950,2744,2175,2662,4236,3276,2847,3107,2424,4009,2599,4486,5555,3297,5954,3484,3566,3284,2610,4499,3327,2512,6542,1413,2370,4569,2974,3625,3442,3698,3173,2394,1197,2198,4132,2557,2198,2112,2802,3902,2573,3332,3311,1992,5413,1781,2545,744,2731,4282,5654,3252,2912,3064,2381,2767,2460,2584,2899,2994,2494,1963,2002,2610,2259,2524,2873,2207,4207,3442,2934,2522,2693,1904,3900,4065,3182,2092,2441,3081,1873,2890,3283,2894,3016","5,7,9,6,8,6,8,5,9,7,7,5,8,6,9,6,9,5,8,7,9,7,8,5,6,5,7,8,6,9,8,7,5,6,9,9,6,7,8,5,7,8,5,6,9,9,8,5,6,7,9,6,5,8,7,6,8,5,7,9,7,5,6,8,9,8,5,9,7,6,8,5,6,7,9,7,5,6,9,8,8,7,5,6,9,8,6,7,5,9,9,8,5,6,7,6,9,5,8,7"
10,246,5,PRE_TEST,elod.joubert,baseline,"5,6,6,6,7,5,6,5,7,6,7,7,6,7,5,5,7,6,7,7,8,7,6,9,6,7,7,7,6,5,7,7,5,6,8,6,8,6,6,5,8,5,6,7,6,7,6,7,8,5,6,7,8,5,6,6,5,7,1,5,5,7,8,6,6,5,6,7,7,6,6,5,5,8,8,5,7,5,6,6,7,7,7,6,6,7,5,7,6,6,6,7,6,6,7,7,8,5,7,7","3796,3233,3812,4906,3292,3260,2875,2952,5122,3955,3840,4951,2753,6898,2814,3142,5004,3702,4414,9267,4588,3864,3777,4445,2790,4490,3301,4670,4406,4667,3506,4369,3107,4942,6265,6455,4058,3873,7037,3458,4458,3441,3671,3964,4077,2592,3318,4213,2453,2758,6789,3381,4446,3860,3659,3421,2855,4658,1223,14225,5890,4445,3709,4837,3869,2457,5981,4057,3457,4963,8651,3119,4572,5492,9436,2914,4242,3559,3103,7388,3433,5708,4142,5391,2524,3607,2947,6457,5328,4464,24614,40104,16104,2740,2457,2808,3361,3341,4557,3834","5,8,6,9,7,6,8,5,9,7,7,9,6,8,5,5,8,6,7,9,8,7,5,9,6,9,7,8,6,5,7,8,5,6,9,7,8,6,9,5,9,5,6,8,7,8,6,7,9,5,8,7,9,5,6,6,5,7,8,9,5,8,9,6,7,5,6,9,8,7,7,5,6,9,8,5,9,6,7,8,8,9,7,5,6,8,5,9,6,7,5,8,6,9,7,6,8,5,7,9"
11,246,5,POST_TEST,elod.joubert,baseline,"6,7,7,6,5,6,8,7,5,7,8,7,6,7,6,6,5,8,8,5,7,6,6,6,7,5,5,7,7,7,8,7,7,7,5,7,6,7,6,5,6,7,8,5,7,5,8,7,6,7,6,8,4,7,5,6,7,5,7,8,6,8,7,6,7,5,7,7,6,6,6,7,7,5,6,7,6,5,5,7,6,6,7,5,7,5,6,6,6,7,5,5,7,7,6,6,8,5,7,6","4728,4469,2238,2940,2336,6477,4170,2982,4204,5354,4841,4577,6236,3793,4528,3572,3808,3400,3596,2855,3442,3852,2748,2637,4684,3257,4210,5380,4271,4636,13853,7255,4675,3690,3096,3393,3941,5903,2977,4006,4191,3822,6226,7255,2689,4495,5416,4800,3073,2669,2556,9573,3306,5007,4010,3778,3678,4502,6230,3980,4466,4920,2207,3706,5156,4942,6410,5152,3637,5154,4070,4902,6322,3841,3721,3723,6174,3649,1073,4969,3477,3859,1548,3388,5521,4168,4020,3377,4262,3659,4570,4776,3265,3597,4006,2918,5469,3304,3839,3063","8,7,9,6,5,6,9,8,5,7,9,8,6,7,5,7,6,9,8,5,9,5,7,6,8,5,6,8,9,7,7,9,6,8,5,8,6,9,7,5,7,8,9,5,6,5,9,8,6,7,7,8,6,9,5,6,7,5,8,9,5,7,9,6,8,5,8,7,9,6,5,8,9,6,7,7,8,5,6,9,6,7,8,5,9,9,7,5,6,8,6,5,7,9,8,7,8,5,9,6"
12,247,5,PRE_TEST,kelly.vin,zpdes,"6,5,7,6,6,6,5,7,5,6,6,5,6,6,7,5,5,6,2,7,8,8,5,7,6,6,5,8,9,6,6,8,7,7,5,5,7,5,6,6,5,5,7,9,7,6,6,5,5,5,6,5,5,6,5,7,8,7,6,6,6,6,6,7,6,7,9,7,7,5,7,6,4,6,7,7,5,6,6,6,4,5,6,7,8,15,6,6,9,5,5,6,7,7,7,5,6,6,7,8","10572,1399,5167,3741,3351,3072,3078,5116,15758,8505,1620,1288,2728,2384,1740,2174,9296,4378,2549,1008,1745,10038,54589,3726,6161,5057,3518,4067,5264,2859,3927,3856,3434,4164,1402,1442,3670,2039,2890,2823,969,1906,3303,3820,2292,2741,4360,1297,2201,3445,2030,1948,1128,3341,1572,1072,1245,1664,3030,2593,1823,2460,1545,2114,2780,3043,1436,1582,2069,985,3769,1959,1885,1457,2831,3527,3279,2124,2305,3540,1076,5657,2113,5019,2232,1904,2064,2612,3677,2318,2282,2496,3906,2122,2204,1962,2165,3192,2539,1411","7,5,9,6,8,6,7,9,5,8,6,5,7,8,9,5,8,7,6,9,8,9,5,7,6,7,5,8,9,6,6,9,7,8,5,7,9,5,8,6,5,8,6,7,9,6,8,5,9,7,9,8,5,7,6,6,9,5,7,8,9,7,5,8,6,8,9,7,6,5,9,7,5,6,8,7,5,6,8,9,5,7,6,9,8,8,7,6,9,5,5,6,7,8,9,5,8,6,7,9"
13,247,5,POST_TEST,kelly.vin,zpdes,"5,7,8,8,7,9,5,5,7,8,8,8,9,7,6,5,7,7,7,7,6,7,8,9,6,9,5,7,6,6,6,9,7,6,8,6,7,7,9,5,6,5,6,8,7,5,7,7,8,6,5,7,5,7,7,6,7,7,9,5,5,6,7,6,5,7,5,6,8,6,7,7,8,5,6,6,6,7,5,7,9,6,6,6,7,7,6,7,8,6,4,6,6,6,7,6,5,6,6,7","1710,2692,2305,2630,3087,3340,2525,1628,3022,3308,3103,3160,2968,3158,3375,3850,6978,6483,3690,2309,3160,3664,3385,3235,3078,5312,1205,1786,6985,7882,3223,3983,3704,5918,5341,2660,4046,5983,3568,2437,3144,4199,2539,3860,6476,3485,3639,3220,2891,4009,1722,5481,2297,3363,3092,2320,4255,3195,4007,3148,2984,3282,4000,2605,2462,2981,1893,1369,4778,3650,5695,5938,7398,1269,1979,4155,3506,3013,5297,2825,4222,4629,2961,4377,3140,3529,4112,1690,837,5514,2105,2351,10080,5951,2709,3352,2521,2344,4039,5337","5,7,9,8,6,9,6,5,7,8,7,9,8,6,5,5,7,9,8,6,5,7,8,9,6,9,5,8,6,7,7,9,6,5,8,6,7,8,9,5,8,5,7,9,6,5,9,7,8,6,5,9,6,7,8,6,8,7,9,5,6,8,9,7,5,8,5,6,9,7,8,7,9,5,6,8,6,9,5,7,9,5,7,6,8,7,6,8,9,5,5,6,7,9,8,5,6,8,7,9"
